TVDSS,GR,NPHI,RHOB,DT,VCL,PHIE,target
3588.1498,72.594,0.1804,2.4409,74.2764,0.4555,0.0132,3.6851
3588.2996,73.5961,0.1776,2.4376,73.9536,0.4341,0.023,3.3492
3588.4494,74.5891,0.1749,2.4343,73.6315,0.4126,0.0329,8.412
3588.5993,72.6882,0.1704,2.4212,73.5521,0.3589,0.0601,13.4749
3588.7491,70.7873,0.166,2.4082,73.4726,0.3052,0.0872,14.2611
3588.8989,68.8864,0.1616,2.3952,73.3931,0.2515,0.1144,24.0822
3589.0488,68.3328,0.1585,2.3893,73.2124,0.2219,0.1256,24.01
3589.1986,68.4432,0.156,2.3869,72.9817,0.2041,0.129,21.1583
3589.3484,68.5536,0.1535,2.3845,72.751,0.1863,0.1324,18.3851
3589.4983,67.7762,0.1503,2.3838,72.6014,0.1688,0.1347,15.74
3589.6481,65.2479,0.1454,2.3865,72.6116,0.152,0.1349,5.3737
3589.7979,62.7196,0.1405,2.3893,72.6219,0.1352,0.1351,3.7759
3589.9478,60.196,0.1356,2.392,72.632,0.1184,0.1353,9.7228
3590.0976,59.1598,0.1346,2.3942,72.6057,0.1191,0.1339,38.4076
3590.2474,58.1236,0.1337,2.3963,72.5793,0.1198,0.1325,67.0924
3590.3973,57.0873,0.1327,2.3985,72.553,0.1206,0.1312,50.9263
3590.5471,58.988,0.138,2.4271,73.3307,0.2168,0.1045,30.5402
3590.6969,62.3363,0.1463,2.4688,74.5047,0.3602,0.0653,1.3339
3590.8468,65.6846,0.1546,2.5105,75.6788,0.5036,0.0261,0.7402
3590.9966,69.3887,0.1666,2.5455,76.7576,0.6392,0.0001,0.1465
3591.1464,73.7945,0.1858,2.5671,77.6486,0.7596,0.0001,0.0195
3591.2963,78.2002,0.205,2.5887,78.5395,0.88,0.0001,0.0233
3591.4461,82.589,0.2241,2.6103,79.4264,0.9999,0.0001,0.0241
3591.596,81.6374,0.215,2.5974,78.9991,0.9503,0.0001,0.025
3591.7458,80.6857,0.206,2.5846,78.5719,0.9008,0.0001,0.0259
3591.8956,79.7341,0.197,2.5717,78.1447,0.8513,0.0001,0.0267
